Martial status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Debtor,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Year,Target
single,39,1,9119,daytime,3.0,130.0,PT,3.0,3,3,10,147.6,0,female,0,31.0,0,0,5,0,0,0.0,0,2010,Dropout
single,1,2,9853,daytime,1.0,124.0,PT,38.0,37,5,3,118.1,0,male,0,18.0,0,0,6,11,3,13.0,0,2009,Dropout
single,10,1,9500,daytime,1.0,140.0,GU,3.0,3,2,9,140.0,1,male,0,23.0,1,0,8,11,7,11.328571428571427,0,2011,Dropout
single,1,1,9085,daytime,1.0,148.0,PT,38.0,38,4,9,131.6,0,female,1,18.0,0,0,6,8,6,15.5,0,2016,Dropout
single,7,1,9003,daytime,3.0,140.0,PT,3.0,19,2,10,140.0,0,female,0,35.0,0,0,6,10,5,15.2,0,2012,Dropout
married,39,1,9500,daytime,1.0,133.1,PT,37.0,37,9,9,130.1,0,female,0,37.0,0,0,7,10,5,13.0,0,2016,Dropout
single,42,1,9003,daytime,1.0,130.0,PT,3.0,2,2,6,105.3,0,female,0,36.0,0,0,6,8,0,0.0,0,2013,Dropout
single,10,2,9773,daytime,1.0,154.4,CV,19.0,38,3,5,154.4,0,male,0,18.0,1,0,6,8,5,12.0,0,2010,Dropout
single,1,4,9254,daytime,1.0,110.0,PT,37.0,37,9,7,113.2,0,male,0,24.0,0,0,6,14,2,10.5,0,2010,Dropout
single,7,1,9500,daytime,3.0,120.0,PT,19.0,3,4,2,120.0,0,male,0,29.0,0,0,8,8,6,12.25,1,2011,Dropout
single,7,1,9085,daytime,3.0,140.0,PT,19.0,20,4,90,140.0,0,male,0,32.0,0,0,5,8,1,14.0,2,2010,Dropout
single,39,1,9119,daytime,10.0,133.1,PT,34.0,37,0,0,128.8,0,female,0,43.0,0,0,5,0,0,0.0,0,2008,Dropout
single,17,1,9773,daytime,1.0,117.0,PT,37.0,37,0,4,120.5,0,female,0,19.0,0,0,6,12,0,0.0,1,2009,Dropout
single,1,1,9119,daytime,1.0,136.0,PT,38.0,38,9,9,121.7,0,female,0,18.0,0,0,5,10,0,0.0,0,2008,Dropout
single,39,1,9254,daytime,1.0,133.1,PT,19.0,1,4,1,101.0,1,male,0,25.0,0,0,6,6,0,0.0,0,2012,Dropout
single,1,1,9085,daytime,1.0,113.0,PT,1.0,1,4,4,106.7,0,male,0,20.0,0,0,6,15,4,14.2,0,2012,Dropout
single,42,1,9773,daytime,1.0,133.1,PT,19.0,6,4,3,120.0,0,female,0,27.0,0,0,4,8,0,0.0,0,2009,Dropout
single,44,1,9853,daytime,39.0,150.0,PT,3.0,37,2,7,150.0,0,male,0,19.0,0,0,6,0,0,0.0,0,2015,Dropout
single,17,3,9119,daytime,1.0,138.0,PT,1.0,19,4,3,125.4,0,female,1,18.0,0,0,5,9,4,12.25,0,2017,Dropout
single,18,1,9070,daytime,1.0,117.0,PT,1.0,37,4,7,127.9,0,female,0,20.0,0,0,6,6,0,0.0,0,2009,Dropout
single,1,1,171,daytime,1.0,131.0,PT,19.0,19,9,9,134.9,1,male,0,20.0,0,0,0,0,0,0.0,0,2013,Dropout
single,17,2,9119,daytime,1.0,116.0,PT,19.0,1,9,7,112.2,0,female,0,19.0,0,0,5,0,0,0.0,0,2013,Dropout
facto union,39,1,9003,daytime,1.0,133.1,PT,37.0,37,9,7,110.0,1,male,0,28.0,0,0,6,17,5,13.0,0,2014,Dropout
single,39,1,9991,evening,1.0,110.0,PT,37.0,37,9,9,139.0,0,female,0,40.0,0,0,5,0,0,0.0,0,2011,Dropout
single,17,4,9147,daytime,1.0,135.0,PT,19.0,1,0,4,128.7,0,female,0,22.0,0,0,5,8,2,10.5,0,2008,Dropout
single,39,1,8014,evening,9.0,133.1,PT,37.0,37,8,10,100.0,0,male,0,37.0,0,0,6,0,0,0.0,0,2009,Dropout
