Martial status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Year
single,1,1,9085,daytime,1,133.1,PT,38,37,1,1,115,0,,male,0,21,0,0,5,8,3,11.333333333333334,1,2011
single,1,1,9070,daytime,1,124,PT,19,19,7,9,132.1,0,1,male,0,19,0,0,6,10,2,10.5,0,2008
single,43,1,9500,daytime,1,125,PT,37,37,9,7,123.6,0,,male,1,18,0,0,7,8,5,12.86,0,2008
single,43,1,9085,daytime,1,130,PT,19,38,4,9,130,0,0,male,0,19,0,0,6,12,5,13,0,2014
single,44,1,9085,daytime,1,140,PT,1,2,3,3,140,0,,male,0,20,0,0,6,7,6,14.285714285714286,0,2014
single,17,2,9853,daytime,1,141,PT,3,1,1,5,130.2,0,1,male,0,19,0,0,6,8,5,11.4,1,2011
single,17,1,9070,daytime,1,123,PT,4,37,2,9,113.9,0,,male,0,18,0,0,6,8,6,12.5,0,2012
single,44,1,9085,daytime,39,140,PT,3,38,2,9,140,0,1,male,0,21,0,7,12,18,8,12.25,0,2015
single,17,5,9670,daytime,1,125,PT,19,30,7,7,118.4,0,,male,1,19,0,0,5,8,3,10.5,0,2008
single,1,2,171,daytime,1,165,PT,3,3,2,2,163.6,0,,male,0,18,0,0,0,0,0,0,0,2015
single,15,1,9119,daytime,1,130,ST,38,3,9,2,137,0,,female,0,19,1,0,5,9,5,14,0,2014
single,1,1,9556,daytime,1,135,PT,1,1,1,1,131.5,0,,female,1,21,0,0,7,14,5,11.2,0,2013
single,39,1,9991,evening,1,133.1,PT,1,1,4,2,127.7,0,,male,0,25,0,0,5,12,4,12.5,0,2014
single,1,5,9670,daytime,1,120,PT,4,1,4,10,112,0,1,male,0,18,0,0,6,10,4,11.25,0,2017
single,1,1,9853,daytime,1,123,PT,1,38,9,6,121.6,0,1,male,0,18,0,0,7,12,5,12,0,2016
single,17,1,9147,daytime,1,115,PT,19,19,7,7,115,0,1,maLe,0,23,0,0,5,7,2,10,1,2009
single,1,2,9773,daytime,1,129,PT,37,37,9,7,117.1,0,1,male,0,20,0,0,6,12,1,17,0,2009
single,17,3,9147,daytime,1,118,PT,1,19,5,7,118,0,1,male,0,20,0,0,5,11,4,11,0,2015
singel,18,1,9773,daytime,1,125,PT,19,37,9,5,122.2,0,,male,0,18,0,0,6,7,5,12.6,0,2016
single,17,3,9147,daytime,1,125,PT,38,19,7,7,125.7,0,,male,0,20,0,0,5,7,5,11.166666666666666,0,2012
single,5,4,9853,daytime,1,116,PT,3,38,3,8,110.4,0,1,male,0,21,0,0,6,9,5,12.6,0,2009
,1,1,9147,daytime,1,123,PT,1,1,4,6,118.8,0,,male,0,21,0,0,5,9,3,10.666666666666666,0,2008
single,15,1,9119,daytime,1,133.1,BR,2,2,2,2,100,1,,female,0,24,1,2,8,8,7,13.142857142857142,0,2017
single,39,1,9500,daytime,1,130,PT,38,37,5,7,120,0,1,male,1,25,0,0,8,11,7,13.29,3,2009
single,39,1,9003,daytime,1,160,PT,1,37,191,193,140,0,1,female,0,27,0,0,6,6,0,0,0,2016
single,43,1,9238,daytime,1,110,PT,37,37,9,9,110,0,,male,0,36,0,10,16,24,13,10.692307692307692,1,2012
single,17,1,9147,daytime,1,126,PT,37,37,4,7,116.9,0,,female,1,19,0,0,5,12,3,11.666666666666666,0,2011
single,39,1,9085,daytime,1,133.1,PT,37,37,9,9,148.2,1,1,male,0,27,0,0,6,11,6,12.125,0,2015
single,1,5,9500,daytime,1,125,PT,3,19,4,8,120.3,0,,male,0,19,0,0,7,11,5,11.716666666666669,0,2014
single,1,4,9500,daytime,1,140,PT,3,19,2,3,133.8,0,,male,0,17,0,0,8,14,5,12.46,0,2010
single,17,2,9147,daytime,1,118,PT,19,1,9,3,113.5,1,,maLe,0,20,0,0,5,10,2,11.5,0,2016
divorced,39,1,9003,daytime,1,140,PT,37,37,9,8,150,0,,female,0,28,0,0,6,12,5,12,0,2016
facto union,39,1,9119,daytime,1,120,PT,37,37,9,9,116,1,1,femaLe,1,34,0,0,5,14,1,17,0,2009
single,17,1,9147,daytime,1,118,PT,1,38,9,9,118.4,0,,female,0,19,0,0,5,10,2,10.5,0,2015
single,1,1,9254,daytime,1,112,PT,38,19,9,5,113.8,0,,male,0,21,0,0,6,10,6,10.833333333333334,0,2008
married,39,1,9500,daytime,19,133.1,PT,19,19,4,4,100,0,1,female,0,33,0,0,7,7,5,13.06,0,2013
single,17,2,9500,daytime,1,126,PT,37,37,7,7,126.2,0,1,male,1,18,0,0,7,10,5,11.94,0,2016
single,44,1,9991,evening,39,140,PT,37,19,9,8,140,0,,maLe,1,26,0,2,6,7,6,12.666666666666666,0,2009
single,1,3,9670,daytime,1,121,PT,1,19,5,5,111.9,0,,female,1,20,0,0,6,7,6,11.333333333333334,0,2010
