Martial status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Year
single,1,1,9254,daytime,1,116,PT,38,38,5,8,110.8,0,,male,0,18,0,0,6,8,6,12.166666666666666,0,2016
married,43,1,9147,daytime,1,130,PT,19,37,7,10,138,0,1,male,0,34,0,12,15,17,12,11.916666666666666,0,2008
single,1,2,9670,daytime,1,130,PT,26,30,0,5,128.6,1,1,male,0,19,0,0,5,8,4,12.25,0,2008
single,1,1,9238,daytime,1,134,PT,1,19,4,9,129.8,0,1,male,1,20,0,0,6,6,6,11.666666666666666,0,2012
single,1,3,9238,daytime,1,126,PT,,19,5,8,120.8,0,,male,0,19,0,0,6,7,6,12.285714285714286,0,2015
single,1,1,9500,daytime,1,149,PT,,37,9,9,139.5,0,1,female,1,18,0,0,8,8,8,15.3,0,2009
single,1,1,9773,daytime,1,140,PT,19,38,9,9,132,0,,femaLe,1,18,0,0,6,6,5,12,0,2011
single,1,1,9773,daytime,1,125,PT,19,1,9,9,130.6,0,,male,1,18,0,0,6,6,6,13.5,0,2017
single,1,1,171,daytime,1,145,PT,1,19,10,5,150.6,0,,female,0,18,0,0,0,0,0,0,0,2010
single,17,1,9853,daytime,1,141,PT,19,19,9,8,142.8,0,,male,1,19,0,0,7,7,7,14.428571428571429,0,2013
married,43,1,9853,daytime,1,110,PT,37,37,7,7,100,0,1,female,0,40,0,0,2,4,1,16,0,2014
married,39,1,171,daytime,12,110,PT,37,37,7,7,106,0,1,F,0,36,0,0,0,0,0,0,0,2008
single,1,1,9070,daytime,1,131,PT,37,37,3,3,131.7,0,1,male,0,20,0,0,6,6,6,12.166666666666666,0,2011
single,1,2,9500,daytime,1,143,PT,5,5,2,2,137.8,0,,female,0,19,0,0,7,10,6,13.492857142857144,0,2015
single,1,1,9085,daytime,1,133.1,PT,37,38,7,5,106,0,,male,1,21,0,0,6,13,6,16.153846153846153,0,2012
married,1,1,9556,daytime,1,144,PT,19,19,193,144,139.8,1,1,female,0,24,0,0,7,7,7,12.271428571428572,0,2010
married,7,1,9991,evening,43,140,PT,40,5,3,3,140,0,,male,0,333,0,2,6,7,6,15.333333333333334,0,2016
single,1,1,9147,daytime,1,131,PT,38,38,9,9,126.5,0,,male,1,18,0,0,5,5,5,10.6,0,2015
single,1,1,9070,daytime,1,116,PT,1,1,1,1,110.8,0,,male.,0,20,0,0,6,6,6,12.833333333333334,0,2015
single,17,1,9238,daytime,1,135,PT,,19,4,4,129.1,0,,male,0,19,0,0,6,6,6,14.666666666666666,0,2012
single,17,1,9070,daytime,1,135,PT,37,19,9,9,125.2,0,1,male,0,19,0,0,6,6,6,14.333333333333334,0,2011
single,7,1,9238,daytime,40,130,PT,37,37,5,5,130,0,,female,0,37,0,11,16,23,15,11.733333333333333,0,2012
single,1,2,9085,daytime,1,122,PT,3,1,4,7,116.1,0,,male,0,18,0,0,6,13,6,13.153846153846152,0,2007
singel,39,1,9500,daytime,40,130,PT,1,1,4,4,190,0,,male,0,27,0,1,7,7,7,14.757142857142856,0,2013
single,1,3,9070,daytime,1,118,PT,43,3,123,123,110,1,1,female,0,19,0,0,6,6,6,12,0,2017
single,1,1,9773,daytime,1,125,PT,38,38,9,9,133.4,0,1,female,1,20,0,0,6,8,6,12,0,2014
single,1,2,9500,daytime,1,140,PT,1,1,4,10,128.3,0,,male,0,19,0,0,8,8,7,12.764285714285714,0,2010
single,15,1,9147,daytime,1,130,ST,1,1,2,3,130,0,1,male,0,19,1,0,5,10,4,12,0,2016
single,1,1,9238,daytime,1,117,PT,38,38,175,183,113.2,1,1,male,0,20,0,0,6,8,6,10.666666666666666,0,2016
single,39,1,8014,evening,1,133.1,PT,37,37,9,9,112.5,0,,male,1,30,0,0,7,7,6,14.666666666666666,1,2010
singel,44,1,9003,daytime,39,130,PT,,37,9,9,130,0,1,female ,0,23,0,0,6,8,6,12.571428571428571,0,2017
single,1,1,9500,daytime,1,140,PT,1,19,9,9,128.8,0,,female,0,18,0,0,7,7,6,13.391666666666666,0,2015
single,1,4,171,daytime,1,146,PT,1,1,9,5,151.3,0,,male,1,19,0,6,12,12,12,12.75,0,2017
single,1,2,9254,daytime,1,121,PT,37,37,9,9,124.2,0,1,male,1,18,0,0,6,8,6,10.571428571428571,0,2013
single,18,1,9500,daytime,1,135,PT,1,38,4,5,127.5,0,,male,1,19,0,0,7,8,6,13.741666666666667,0,2013
single,1,2,9500,daytime,1,138,PT,3,3,2,2,127.5,0,1,male,1,18,0,0,7,7,7,14.485714285714286,0,2013
married,39,1,8014,evening,1,150,PT,37,37,9,9,140,0,,female,0,35,0,0,6,6,6,14,0,2009
single,1,1,9238,daytime,1,117,PT,1,19,4,7,113.5,0,,male,1,18,0,0,6,6,6,13.166666666666666,0,2016
single,1,3,9085,daytime,1,138,PT,1,3,4,4,126.3,0,,male,0,18,0,0,6,8,6,14,0,2017
singel,1,3,9130,daytime,1,167,PT,37,37,90,90,159.3,0,1,male,0,19,0,0,5,7,5,14.714285714285714,0,2008
single,17,1,9254,daytime,1,116,PT,19,19,9,8,119.9,0,,male,0,20,0,0,6,6,6,12.333333333333334,0,2015
single,1,1,9773,daytime,1,120,PT,36,37,0,0,126.7,0,1,female,0,20,0,0,6,9,5,12.6,0,2008
single,1,2,9500,daytime,1,142,PT,37,37,9,7,132.7,0,,male,1,19,0,0,7,8,7,14.7875,0,2014
single,1,2,9238,daytime,1,100,PT,38,1,7,7,99.3,0,1,male,0,21,0,0,6,8,5,12.4,0,2015
single,17,6,9119,daytime,1,124,PT,19,19,4,0,126.1,0,,female,0,20,0,0,5,7,4,13,0,2008
singel,1,1,9238,daytime,1,128,PT,19,19,0,5,120.3,0,1,maLe,0,19,0,0,6,12,2,13,0,2008
,1,1,9070,daytime,1,137,PT,37,37,9,9,126.2,0,,male,1,19,0,0,6,6,6,13,0,2010
single,17,5,9070,daytime,1,133,PT,4,1,4,4,132,0,,male,1,17,0,0,6,6,6,13,0,2012
single,1,1,9773,daytime,1,125,PT,19,38,3,5,115.9,0,1,male,0,19,0,0,6,13,4,11.75,0,2010
single,1,1,9500,daytime,1,148,PT,3,3,2,2,137.3,0,,male,0,19,0,0,7,7,6,14.266666666666666,0,2008
,39,1,9254,daytime,1,170,PT,37,37,4,6,138.3,0,,male,0,33,0,5,10,14,9,12.416666666666666,0,2010
single,1,3,9147,daytime,1,115,PT,1,38,3,8,109.8,0,,mal,1,19,0,0,5,5,5,13.4,0,2017
single,1,1,9070,daytime,1,133.1,PT,1,1,9,9,155,0,1,male,1,21,0,0,6,7,5,13,0,2013
married,39,1,9991,evening,19,133.1,PT,37,37,9,9,150.3,0,1,male,0,47,0,0,5,5,5,14.8,0,2008
